"Gene","K","l","Day","LeuLysMet"
"APMMMP",79.90306,14.31137,4,"MMM"
"BPPMMP",123.83595,12.32482,4,"PMM"
"BMPPPM",135.50055,10.64838,4,"PPP"
"BMPPPP",126.65753,10.49524,4,"PPP"
"BPPPMM",121.8601,12.41905,4,"PPM"
"BMMMPM",119.95163,12.29931,4,"MMP"
"APMPPP",121.11121,11.14867,4,"MPP"
"APPMMP",93.07625,14.18238,4,"PMM"
"AMPMPM",118.2312,13.25879,4,"PMP"
"APMPMM",119.10107,10.91144,4,"MPM"
"BMMMMP",92.90147,13.20105,4,"MMM"
"BMPMPM",116.76534,12.81661,4,"PMP"
"BPMPMP",113.96016,12.14467,4,"MPM"
"BPMPMP",117.57539,11.68004,4,"MPM"
"BMPMMM",114.3674,14.40465,4,"PMM"
"APPPPM",124.24579,9.99163,4,"PPP"
"AMMPPP",120.57841,10.29337,4,"MPP"
"AMMMMP",114.4044,13.52444,4,"MMM"
"APPMPM",117.28299,12.80129,4,"PMP"
"IPPPPP",121.9917,9.89793,4,"PrPrPr"
"APMPPP",117.47594,11.21186,4,"MPP"
"IPPPPP",123.73515,10.51251,4,"PrPrPr"
"BMPMMM",93.32085,13.29867,4,"PMM"
"IPPPPP",126.64016,9.55936,4,"PrPrPr"
"APPPPM",123.62843,11.99983,4,"PPP"
"IPPPPP",128.03952,10.32597,4,"PrPrPr"
"BMMMMP",133.89975,12.75493,4,"MMM"
"BPPMPP",127.06669,10.69447,4,"PMP"
"APPMPM",118.35086,12.88734,4,"PMP"
"APMMMM",98.08249,14.18843,4,"MMM"
"IPMMMP",97.41375,13.32415,4,"MMM"
"AMMPMM",118.55891,12.56705,4,"MPM"
"BPPPMP",122.2616,11.3693,4,"PPM"
"IPPPPP",123.21039,10.64749,4,"PrPrPr"
"APMPPM",117.54399,12.72294,4,"MPP"
"IPPPPP",123.64806,9.0156,4,"PrPrPr"
"APPPPM",121.74819,10.9958,4,"PPP"
"IPPPPP",121.71671,11.17611,4,"PrPrPr"
"BMPMPM",115.48588,13.26704,4,"PMP"
"APPMPP",122.69808,10.51027,4,"PMP"
"BPMMMP",116.54523,12.92471,4,"MMM"
"BMPPMP",121.86437,10.55478,4,"PPM"
"AMMPMP",115.00031,11.28191,4,"MPM"
"APMPMM",116.78798,11.83592,4,"MPM"
"IPPPPP",119.80342,11.07497,4,"PrPrPr"
"AMPMPP",120.16182,12.01364,4,"PMP"
"AMMMPM",109.82831,14.65652,4,"MMP"
"BPPPMM",122.15976,11.82584,4,"PPM"
"AMPMMM",117.28714,13.00736,4,"PMM"
"APMPMM",121.14177,12.0579,4,"MPM"
"BPMPMP",132.5848,11.87205,4,"MPM"
"BPMMPM",112.54537,14.95348,4,"MMP"
"BPPPMM",119.59623,12.22062,4,"PPM"
"APPPMP",120.61611,11.43906,4,"PPM"
"APMMPP",81.73589,15.18703,4,"MMP"
"BMPMMP",115.66891,14.12816,4,"PMM"
"AMPMMM",91.05849,13.90614,4,"PMM"
"AMMPPM",119.09914,10.64223,4,"MPP"
"BMMPPP",116.78976,11.87555,4,"MPP"
"AMMMPM",115.43616,12.44224,4,"MMP"
"APPMMP",117.00139,12.76276,4,"PMM"
"BPPMMP",116.83838,13.1237,4,"PMM"
"BPPMMP",94.144,13.41715,4,"PMM"
"BPMPPM",119.73854,12.73566,4,"MPP"
"BMMPPM",117.16496,12.69343,4,"MPP"
"AMPPMP",119.89116,10.44775,4,"PPM"
"AMMPPM",111.88574,13.27441,4,"MPP"
"BMMPMP",115.63979,11.20295,4,"MPM"
"APMPMP",111.31614,12.25624,4,"MPM"
"AMMMMP",114.70929,12.45941,4,"MMM"
"BPPMPM",117.5565,12.92698,4,"PMP"
"APPMPM",118.38802,12.48835,4,"PMP"
"AMPMPP",119.55621,12.41612,4,"PMP"
"BPPPPM",125.4735,10.07012,4,"PPP"
"BMMPMM",131.8478,11.31722,4,"MPM"
"IPPPPP",124.10835,10.41233,4,"PrPrPr"
"IPPPPP",121.16287,10.73858,4,"PrPrPr"
"BPMMPM",117.37487,12.62331,4,"MMP"
"IMPPPM",121.16024,10.76442,4,"PPP"
"AMMMMM",120.07816,11.50177,4,"MMM"
"BPPPMP",119.43421,11.29118,4,"PPM"
"AMMPMM",110.68852,13.42547,4,"MPM"
"APMPPP",118.00282,11.09491,4,"MPP"
"BMMPPM",117.17233,11.41213,4,"MPP"
"AMMMMP",96.93541,12.56731,4,"MMM"
"BPPMPP",84.26099,14.16711,4,"PMP"
"APMPPP",118.91332,11.755,4,"MPP"
"APMMMM",92.93409,13.7398,4,"MMM"
"BMPMPM",96.68232,12.75827,4,"PMP"
"AMPPPP",117.99694,11.15067,4,"PPP"
"BPPPMM",118.70594,10.35611,4,"PPM"
"BMMPMM",114.95494,12.14866,4,"MPM"
"BMPPMM",117.94795,12.00592,4,"PPM"
"BPPPPM",119.92797,10.50139,4,"PPP"
"IPPPPP",120.68847,10.64237,4,"PrPrPr"
"AMPMPP",113.04898,13.94101,4,"PMP"
"APMMMM",110.21416,14.22862,4,"MMM"
"APMMMP",120.28243,12.52914,4,"MMM"
"AMMMPP",130.33703,12.4478,4,"MMP"
"BMPPMM",120.61905,9.75329,4,"PPM"
"BMPMMP",99.76831,13.94324,4,"PMM"
"APMMMM",115.63923,13.03688,4,"MMM"
