"Gene","K","l","Day","LeuLysMet"
"IPPPPP",119.44236,15.28865,26,"PrPrPr"
"AMPMPP",121.85574,14.78319,26,"PMP"
"AMMMPM",124.10611,12.59494,26,"MMP"
"BPPPMM",117.78972,15.34121,26,"PPM"
"AMPMMM",124.24171,12.56651,26,"PMM"
"APMPMM",115.39072,15.43678,26,"MPM"
"BPMPMP",130.08903,13.24107,26,"MPM"
"BPMMPM",85.06333,34.32804,26,"MMP"
"BPPPMM",120.3008,14.23508,26,"PPM"
"APPPMP",115.53991,13.81872,26,"PPM"
"APMMPP",115.56054,13.21664,26,"MMP"
"BMPMMP",119.68249,12.30275,26,"PMM"
"AMPMMM",85.1395,17.62035,26,"PMM"
"AMMPPM",100.07226,18.74474,26,"MPP"
"BMMPPP",93.85363,19.77106,26,"MPP"
"AMMMPM",82.62786,17.8116,26,"MMP"
"APPMMP",122.33017,12.05962,26,"PMM"
"BPPMMP",120.76094,13.4328,26,"PMM"
"BPPMMP",93.03125,18.46234,26,"PMM"
"BPMPPM",119.16624,15.99181,26,"MPP"
"BMMPPM",118.42852,15.50674,26,"MPP"
"AMPPMP",119.18433,14.77139,26,"PPM"
"AMMPPM",109.30188,17.15284,26,"MPP"
"BMMPMP",110.84424,16.4164,26,"MPM"
"APMPMP",116.93131,13.68104,26,"MPM"
"AMMMMP",122.47211,12.97811,26,"MMM"
"BPPMPM",121.59886,13.10589,26,"PMP"
"APPMPM",121.49133,13.51856,26,"PMP"
"AMPMPP",121.04144,14.59163,26,"PMP"
"BPPPPM",121.76609,15.13975,26,"PPP"
"BMMPMM",128.61722,13.78183,26,"MPM"
"IPPPPP",124.21991,13.99851,26,"PrPrPr"
"IPPPPP",116.72145,14.93842,26,"PrPrPr"
"BPMMPM",118.54708,12.37759,26,"MMP"
"IMPPPM",111.55926,15.86583,26,"PPP"
"AMMMMM",118.44458,11.51006,26,"MMM"
"BPPPMP",116.14008,12.186,26,"PPM"
"AMMPMM",117.49711,12.75133,26,"MPM"
"APMPPP",115.14791,14.90481,26,"MPP"
"BMMPPM",110.87865,16.76819,26,"MPP"
"AMMMMP",122.71667,12.72109,26,"MMM"
"BPPMPP",89.81119,17.38745,26,"PMP"
"APMPPP",115.60733,17.09255,26,"MPP"
"APMMMM",69.11412,19.61225,26,"MMM"
"BMPMPM",122.85947,13.31225,26,"PMP"
"AMPPPP",119.44565,15.39067,26,"PPP"
"BPPPMM",119.75036,14.60768,26,"PPM"
"BMMPMM",119.5648,13.9686,26,"MPM"
"BMPPMM",119.03044,14.48647,26,"PPM"
"BPPPPM",119.96241,14.12203,26,"PPP"
"IPPPPP",117.62356,15.40794,26,"PrPrPr"
"AMPMPP",122.91343,12.80429,26,"PMP"
"APMMMM",121.13521,12.71968,26,"MMM"
"APMMMP",124.81033,11.32713,26,"MMM"
"AMMMPP",130.82405,12.48496,26,"MMP"
"BMPPMM",121.54262,13.65029,26,"PPM"
"BMPMMP",118.69736,12.45758,26,"PMM"
"APMMMM",116.81937,12.37983,26,"MMM"
"APPPPM",117.10635,13.82054,26,"PPP"
"APMMPP",114.2198,14.56533,26,"MMP"
"BPMPMP",113.41332,12.34738,26,"MPM"
"BMPPPP",114.66855,12.40133,26,"PPP"
"AMMMPM",117.49775,13.85246,26,"MMP"
"AMMMPM",119.77071,13.35197,26,"MMP"
"BMPPPM",117.88255,13.96277,26,"PPP"
"BPPPMM",119.6309,13.75299,26,"PPM"
"BMMPPP",114.51529,17.47483,26,"MPP"
"AMPMMP",94.18448,19.65196,26,"PMM"
"APPMMM",123.69693,13.3574,26,"PMM"
"BPMPPP",115.91872,16.26737,26,"MPP"
"APMMMP",122.39186,13.33374,26,"MMM"
"BPMMMP",87.64495,18.67123,26,"MMM"
"APMMPM",121.602,13.75438,26,"MMP"
"BPPMPM",83.3665,17.61726,26,"PMP"
"BMMMPM",119.80758,14.15326,26,"MMP"
"AMMPPP",110.41649,16.52063,26,"MPP"
"BPPPMP",120.10944,14.42141,26,"PPM"
"AMPPMM",121.15444,13.92447,26,"PPM"
"AMPPMP",129.31215,14.16693,26,"PPM"
"APMMPM",116.30923,12.61225,26,"MMP"
"AMPPMM",117.4599,14.00934,26,"PPM"
"BPMPMP",114.4245,11.44088,26,"MPM"
"APMMPP",118.40048,13.20988,26,"MMP"
"BMPPMP",116.09004,13.81695,26,"PPM"
"BMPMMP",114.89604,10.80033,26,"PMM"
"BPMPMM",116.485,13.08053,26,"MPM"
"BPMPPM",116.41083,15.77227,26,"MPP"
"BMMMPM",119.62062,12.5933,26,"MMP"
"BMPMPM",118.56503,14.84606,26,"PMP"
"APPPMP",117.91354,13.49994,26,"PPM"
"BPPPPM",119.46946,14.43273,26,"PPP"
"BPPMPP",119.41378,12.94887,26,"PMP"
"APMPMP",117.58562,13.14996,26,"MPM"
"IPPPPP",119.05832,14.56972,26,"PrPrPr"
"AMMMMP",119.39153,12.32253,26,"MMM"
"AMMPMM",117.03485,13.59453,26,"MPM"
"BMPMPP",117.15384,12.43001,26,"PMP"
"APMMMM",117.56021,11.55898,26,"MMM"
"AMPPMM",117.08708,13.83424,26,"PPM"
"BMPMMP",118.87947,12.23465,26,"PMM"
"APMMMM",118.44988,11.23009,26,"MMM"
"IPPPPP",119.79879,12.93971,26,"PrPrPr"
"BPMPPP",123.84966,16.15805,26,"MPP"
"APPMPM",113.2375,29.5501,26,"PMP"
"BPPMMP",114.88958,17.83633,26,"PMM"
"BMMMPP",104.06512,28.00585,26,"MMP"
