"Gene","K","l","Day","LeuLysMet","pH_day","A"
"BMMPPP",122.94486,15.35795,31,"MPP","19_0503",NA
"APMMPP",118.66899,16.37697,31,"MMP","19_0503",NA
"BPPMMM",121.21514,14.9884,31,"PMM","19_0503",NA
"BMMMMP",93.94757,20.2681,31,"MMM","19_0503",NA
"AMMMMP",116.72676,15.936,31,"MMM","19_0503",NA
"BMPPPM",119.77288,14.9124,31,"PPP","19_0503",NA
"APPPPM",119.31772,14.42883,31,"PPP","19_0503",NA
"APPPMM",119.99984,14.91002,31,"PPM","19_0503",NA
"IPPPPP",118.73364,16.9421,31,"PrPrPr","19_0503",NA
"AMPMPM",119.52712,14.92597,31,"PMP","19_0503",NA
"BMMMMM",115.82602,15.44815,31,"MMM","19_0503",NA
"BPMPMP",117.99421,14.54796,31,"MPM","19_0503",NA
"AMPMPP",120.34965,15.77975,31,"PMP","19_0503",NA
"BPPPPM",117.95728,15.38068,31,"PPP","19_0503",NA
"APMPMM",113.11912,13.95309,31,"MPM","19_0503",NA
"AMMMMP",117.78385,13.72337,31,"MMM","19_0503",NA
"APMPMP",116.092,13.98384,31,"MPM","19_0503",NA
"IPPPPP",118.39434,14.02663,31,"PrPrPr","19_0503",NA
"BPPMMP",121.12655,15.78519,31,"PMM","19_0503",NA
"AMMMPM",95.60107,20.19548,31,"MMP","19_0503",NA
"BMMMPM",96.22104,20.4379,31,"MMP","19_0503",NA
"BPPPMP",120.00984,15.38864,31,"PPM","19_0503",NA
"AMPPPP",124.78874,12.94473,31,"PPP","19_0503",NA
"BMMMMM",125.78854,17.28635,31,"MMM","19_0503",NA
"AMMPMP",123.20543,15.31036,31,"MPM","19_0503",NA
"BMPPMP",120.27438,14.81367,31,"PPM","19_0503",NA
"BPPMPM",119.15273,16.0191,31,"PMP","19_0503",NA
"AMMPPP",120.82768,14.68296,31,"MPP","19_0503",NA
"BMMPMM",118.50707,16.3755,31,"MPM","19_0503",NA
"APMMPM",109.59418,17.69819,31,"MMP","19_0503",NA
"AMMMMM",121.71847,16.52767,31,"MMM","19_0503",NA
"BPPMMM",119.73151,15.99202,31,"PMM","19_0503",NA
"BPMMMP",119.39483,15.62359,31,"MMM","19_0503",NA
"AMPMMP",119.7165,14.99739,31,"PMM","19_0503",NA
"BMPMPM",114.46931,16.41349,31,"PMP","19_0503",NA
"AMMMPM",116.73098,15.99037,31,"MMP","19_0503",NA
"AMPMMM",118.50147,14.26398,31,"PMM","19_0503",NA
"BPMPPM",115.0384,16.05275,31,"MPP","19_0503",NA
"BPPMMM",116.92807,14.06552,31,"PMM","19_0503",NA
"APPPMP",118.40482,15.28237,31,"PPM","19_0503",NA
"AMMPMM",33.90419,19.51477,31,"MPM","19_0503",NA
"BPPPPM",101.37435,16.17482,31,"PPP","19_0503",NA
"BPPMMP",121.72251,14.57416,31,"PMM","19_0503",NA
"AMMMMP",120.5861,15.23372,31,"MMM","19_0503",NA
"APPMPP",104.95563,20.93763,31,"PMP","19_0503",NA
"APMMMP",123.02171,15.77234,31,"MMM","19_0503",NA
"BPPMMP",124.19086,14.9826,31,"PMM","19_0503",NA
"BMPPPM",113.60031,17.67989,31,"PPP","19_0503",NA
